"OldRelative","DestinationRelative","SHA256","HashMatch"
"04-从零部署到当前线上状态-完整实操教程.md","阶段一/文档/04-从零部署到当前线上状态-完整实操教程.md","888a323f5796cd9b5abed395e97c0ba55f8efe17904abc97dde330c7c69dc12a","True"
"05-Linux与Shell实战手册.md","阶段一/文档/05-Linux与Shell实战手册.md","e864268af0a54181cc7078f013389a71e94f5a94d52303e9923c28374299095b","True"
"06-Caddy配置与排障详解.md","阶段一/文档/06-Caddy配置与排障详解.md","2b32d14e2af77ec133d14c1e7f1d203ca6ef4009cd4d7ba257f8aa203032c15a","True"
"07-备份巡检与故障处理SOP.md","阶段二/文档/07-备份巡检与故障处理SOP.md","8e85234b8d875fa0ec27c6aea85353fd1c824037ba002984d58e4a16b12bdf01","True"
"08-Prometheus容器监控与企业实践.md","阶段三/文档/08-Prometheus容器监控与企业实践.md","c502747ca6dafc870f3382bc4ddaa7562029eb7335949ce77570b1f05bd1cc5a","True"
"09-生产级完善路线图与验收总表.md","总览/04-生产级完善路线图与验收总表.md","da23795b0b50d975da74cf14927ebc43f4955851b5658c840b85f9d0975b546e","True"
"故障记录/INC-008-注册入口关闭与管理员凭据确认.md","阶段一/问题记录/INC-008-注册入口关闭与管理员凭据确认.md","382f8cfd4cc87f72385164cc9dd95e1440503a92aeb2f3f52cc1bf66c538ec55","True"
"故障记录/INC-009-密码变更后旧会话触发误导性数据库错误页.md","阶段一/问题记录/INC-009-密码变更后旧会话触发误导性数据库错误页.md","1951a5859e926d596cf78798153b7d7f8b9a5efe283b5a9738d9316cb073f7b7","True"
"脚本/00-preflight.sh","阶段一/脚本/00-preflight.sh","f4c09d5bcdec4e897dd62f983a2bfdbd4e917dc47f079a5a25a84ffedbc0bc5b","True"
"脚本/01-verify-stage1.sh","阶段一/脚本/01-verify-stage1.sh","d8c2e61b749ad9fb060e6c56addf4c2d9a0e6fe8cb63394e70e107fc233e5930","True"
"脚本/02-collect-diagnostics.sh","阶段一/脚本/02-collect-diagnostics.sh","b46f939d95b99268911d3176c7b1673e5a55d5a5c95d19b1f52f648671354898","True"
"脚本/README.md","阶段一/脚本/README.md","9179fde67572674680ce439490cbaeaf263fd3104b3e52fec811c8c32a6369ad","True"
"阶段二/故障记录/INC-模板.md","阶段二/故障记录/INC-模板.md","bf9bf6c6c97cbd31ab64d2fb38553cea929cbb5d7f158b5aca163c5ef8f05602","True"
"阶段二/故障记录/INC-S2-001-SSH管理入口拒绝连接.md","阶段二/故障记录/INC-S2-001-SSH管理入口拒绝连接.md","bff718ad13a69edda676f88aebd7be5a20e871ef2ad0e44775bd1442dc749389","True"
"阶段二/故障记录/INC-S2-002-setupfirst无效单元残留.md","阶段二/故障记录/INC-S2-002-setupfirst无效单元残留.md","2182dd84e705db09ca828e2dd9637c2107de16b185e82c0c630435d6f1aead51","True"
"阶段二/故障记录/INC-S2-003-repass密码重置辅助单元失败.md","阶段二/故障记录/INC-S2-003-repass密码重置辅助单元失败.md","6801c809bb510c70618b7546105cc7ae10e4f652e8868cf124d2c4cb67eebf7b","True"
"阶段二/问题记录/ISSUE-S2-001-Windows-bash解析到不可用WSL.md","阶段二/问题记录/ISSUE-S2-001-Windows-bash解析到不可用WSL.md","87bbc1e00ec43cd9b07b7c5bcee0e1c145e16528d2bccfa883b5aa67bd886ed7","True"
"阶段二/问题记录/ISSUE-S2-002-保留测试夹具命名错误.md","阶段二/问题记录/ISSUE-S2-002-保留测试夹具命名错误.md","2369d42eef4e18f35ce6f94cc08b5cc5a26a969dabc0bb4178b801607e10b1d1","True"
"阶段二/问题记录/ISSUE-S2-003-终验采集误用认证端口8081.md","阶段二/问题记录/ISSUE-S2-003-终验采集误用认证端口8081.md","53a993e21203d1a7273af6f5728ff1fcd2d557b7d264b75f11259b664c334179","True"
"阶段二/问题记录/ISSUE-S2-004-Windows直连HTTP响应被重置.md","阶段二/问题记录/ISSUE-S2-004-Windows直连HTTP响应被重置.md","f44c1be55704919433d3434d98409ffbe75fe14f70ce3352d7055e41261f48e9","True"
