mode	owner	size_bytes	source
644	root:root	449	/etc/apt/sources.list.d/caddy-stable.list
640	root:caddy	389	/etc/caddy/Caddyfile
644	root:root	1411	/etc/nginx/sites-available/knowtrace.conf
600	root:root	133	/etc/ssh/sshd_config.d/00-knowtrace-hardening.conf
644	root:root	724	/etc/systemd/system/knowtrace-backup.service
644	root:root	224	/etc/systemd/system/knowtrace-backup.timer
644	root:root	1192	/opt/knowtrace/.env.example
644	root:root	744	/opt/knowtrace/.env.observability.example
644	root:root	7557	/opt/knowtrace/compose.observability.yaml
644	root:root	416	/opt/knowtrace/compose.production.yaml
644	root:root	5333	/opt/knowtrace/compose.yaml
644	root:root	10370	/opt/knowtrace/deploy/grafana/dashboards/knowtrace-vps-overview.json
644	root:root	236	/opt/knowtrace/deploy/grafana/provisioning/dashboards/dashboards.yml
644	root:root	180	/opt/knowtrace/deploy/grafana/provisioning/datasources/prometheus.yml
644	root:root	177	/opt/knowtrace/deploy/logstash/config/logstash.yml
644	root:root	2336	/opt/knowtrace/deploy/logstash/pipeline/logstash.conf
644	root:root	201	/opt/knowtrace/deploy/monitoring/blackbox.yml
644	root:root	1939	/opt/knowtrace/deploy/monitoring/prometheus.yml
644	root:root	5414	/opt/knowtrace/deploy/monitoring/rules/knowtrace.yml
644	root:root	1411	/opt/knowtrace/deploy/nginx/knowtrace-vps.conf
644	root:root	724	/opt/knowtrace/deploy/systemd/knowtrace-backup.service
644	root:root	224	/opt/knowtrace/deploy/systemd/knowtrace-backup.timer
644	root:root	10369	/opt/knowtrace/docs/15-stage2-vps-reliability.md
644	root:root	11812	/opt/knowtrace/docs/16-stage3-observability.md
700	root:root	10835	/opt/knowtrace/scripts/linux/backup-all.sh
755	root:root	3621	/opt/knowtrace/scripts/linux/configure-163-alert-email.sh
755	root:root	3556	/opt/knowtrace/scripts/linux/deploy-observability.sh
755	root:root	3137	/opt/knowtrace/scripts/linux/elk.sh
755	root:root	5619	/opt/knowtrace/scripts/linux/init-observability-env.sh
755	root:root	1869	/opt/knowtrace/scripts/linux/install-observability-nginx.sh
755	root:root	7855	/opt/knowtrace/scripts/linux/load-baseline.py
755	root:root	3749	/opt/knowtrace/scripts/linux/observability-drill.sh
700	root:root	2177	/opt/knowtrace/scripts/linux/prune-backups.sh
755	root:root	1845	/opt/knowtrace/scripts/linux/test-email-alert.sh
755	root:root	9774	/opt/knowtrace/scripts/linux/verify-observability.py
700	root:root	10056	/opt/knowtrace/scripts/linux/verify-restore.sh
755	root:root	1762	/opt/knowtrace/scripts/linux/write-backup-metrics.sh
644	root:root	5024	/usr/share/keyrings/caddy-stable-archive-keyring.gpg
600	root:root	2110	/var/log/knowtrace-observability-drill-20260908T044604Z.log
